Week_end,Indicator,High_industry,Value
5/5/19,Number of paid jobs - 20 days,Total,1828160
5/5/19,Number of paid jobs - 20 days,A Primary,79880
5/5/19,Number of paid jobs - 20 days,B Goods Producing,344320
5/5/19,Number of paid jobs - 20 days,C Services,1389220
5/5/19,Number of paid jobs - 20 days,Z No Match,14730
5/5/19,Weekly earnings - median - 20 days,Total,969.38
5/5/19,Weekly earnings - median - 20 days,A Primary,936.24
5/5/19,Weekly earnings - median - 20 days,B Goods Producing,1105.55
5/5/19,Weekly earnings - median - 20 days,C Services,936
5/5/19,Weekly earnings - median - 20 days,Z No Match,517.5
5/5/19,Weekly earnings - upper quartile - 20 days,Total,1384.62
5/5/19,Weekly earnings - upper quartile - 20 days,A Primary,1261.86
5/5/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450
5/5/19,Weekly earnings - upper quartile - 20 days,C Services,1375
5/5/19,Weekly earnings - upper quartile - 20 days,Z No Match,897.24
5/5/19,Weekly earnings - lower quartile - 20 days,Total,620.88
5/5/19,Weekly earnings - lower quartile - 20 days,A Primary,611.71
5/5/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,837.65
5/5/19,Weekly earnings - lower quartile - 20 days,C Services,558.21
5/5/19,Weekly earnings - lower quartile - 20 days,Z No Match,209.85
5/12/19,Number of paid jobs - 20 days,Total,1821610
5/12/19,Number of paid jobs - 20 days,A Primary,77540
5/12/19,Number of paid jobs - 20 days,B Goods Producing,341110
5/12/19,Number of paid jobs - 20 days,C Services,1389260
5/12/19,Number of paid jobs - 20 days,Z No Match,13700
5/12/19,Weekly earnings - median - 20 days,Total,961.74
5/12/19,Weekly earnings - median - 20 days,A Primary,923
5/12/19,Weekly earnings - median - 20 days,B Goods Producing,1109.31
5/12/19,Weekly earnings - median - 20 days,C Services,927.21
5/12/19,Weekly earnings - median - 20 days,Z No Match,500
5/12/19,Weekly earnings - upper quartile - 20 days,Total,1379.33
5/12/19,Weekly earnings - upper quartile - 20 days,A Primary,1250
5/12/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.57
5/12/19,Weekly earnings - upper quartile - 20 days,C Services,1365.38
5/12/19,Weekly earnings - upper quartile - 20 days,Z No Match,881.3
5/12/19,Weekly earnings - lower quartile - 20 days,Total,612.61
5/12/19,Weekly earnings - lower quartile - 20 days,A Primary,594.64
5/12/19,Weekly earnings - lower quartile - 20 days,B Goods Producing,840
5/12/19,Weekly earnings - lower quartile - 20 days,C Services,550
5/12/19,Weekly earnings - lower quartile - 20 days,Z No Match,200.02
5/19/19,Number of paid jobs - 20 days,Total,1815900
5/19/19,Number of paid jobs - 20 days,A Primary,78170
5/19/19,Number of paid jobs - 20 days,B Goods Producing,341240
5/19/19,Number of paid jobs - 20 days,C Services,1382280
5/19/19,Number of paid jobs - 20 days,Z No Match,14200
5/19/19,Weekly earnings - median - 20 days,Total,973.88
5/19/19,Weekly earnings - median - 20 days,A Primary,936.43
5/19/19,Weekly earnings - median - 20 days,B Goods Producing,1108.82
5/19/19,Weekly earnings - median - 20 days,C Services,941
5/19/19,Weekly earnings - median - 20 days,Z No Match,513.22
5/19/19,Weekly earnings - upper quartile - 20 days,Total,1394.23
5/19/19,Weekly earnings - upper quartile - 20 days,A Primary,1273.25
5/19/19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.79
5/19/19,Weekly earnings - upper quartile - 20 days,C Services,1384.6
5/19/19,Weekly earnings - upper quartile - 20 days,Z No Match,900
5/19/19,Weekly earnings - lower quartile - 20 days,Total,624.27
5/19/19,Weekly earnings - lower quartile - 20 days,A Primary,610.2
